run_id,tierb_subtier,tierb_family,ablation_factor,ablation_value,matcher,overall_acc,overall_precision,idf_acc,loc_mean,loc_median,images,gt_present,predicted,correct,runtime_s,cand_fallback_passes,cand_fallback_percentiles,cand_target_raw,layout_lambda,layout_prior,matcher,max_seeds,pivot_P,ratio_tol,sla_base_ratio_min,sla_layout_mode,sla_mirror_reject,sla_semantic_lambda,sla_semantic_prior,sla_side_margin,sla_top2_margin,support_M,support_tol,support_w
tierB\b2_059,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.08,0.15
tierB\b2_060,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.1
tierB\b2_061,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.1
tierB\b2_062,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.15,False,hybrid,100,6,0.1,,,,,,,,30,0.1,0.15
tierB\b2_063,,,,,hybrid,0.7289,0.8082,0.779,11.404,1.416,2486,8763,7903,6387,nan,4,"99.5,99,98.5,98",12,0.25,True,hybrid,200,8,0.12,,,,,,,,30,0.1,0.15
tierB\b2_064,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.1
tierB\b2_065,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.1
tierB\b2_066,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.15
tierB\b2_067,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.15
tierB\b2_068,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.1
tierB\b2_069,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.1
tierB\b2_070,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.15
tierB\b2_071,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.15
tierB\b2_072,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.1
tierB\b2_073,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.08,0.1
tierB\b2_074,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.15
tierB\b2_075,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.08,0.15
tierB\b2_076,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.1,0.1
tierB\b2_077,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.1,0.1
tierB\b2_078,,,,,sla,0.7084,0.7857,0.761,13.008,1.426,2486,8763,7901,6208,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.1,0.15
tierB\b2_079,,,,,sla,0.7346,0.8147,0.766,10.411,1.414,2486,8763,7901,6437,nan,2,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.1,0.15
tierB\b2_080,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.1
tierB\b2_081,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.1
tierB\b2_082,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.08,0.15
tierB\b2_083,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.15
tierB\b2_084,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.1
tierB\b2_085,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.1
tierB\b2_086,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,20,0.1,0.15
tierB\b2_087,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.1,0.15
tierB\b2_088,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.1
tierB\b2_089,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.08,0.1
tierB\b2_090,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.08,0.15
tierB\b2_091,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.08,0.15
tierB\b2_092,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.1,0.1
tierB\b2_093,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.1,0.1
tierB\b2_094,,,,,sla,0.7144,0.782,0.768,13.022,1.432,2486,8763,8005,6260,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,0.0,False,0.0,0.0,30,0.1,0.15
tierB\b2_095,,,,,sla,0.7414,0.8116,0.774,10.368,1.414,2486,8763,8005,6497,nan,4,"99,98,97",8,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,30,0.1,0.15
tierB\b2_097,,,,,sla,0.7289,0.8174,0.758,10.633,1.414,2486,8763,7814,6387,nan,2,"99.5,99,98.5,98",12,0.15,False,sla,100,6,0.1,0.8,image,True,1.5,True,0.0,0.0,20,0.08,0.1
